300
300
297,182
288,174
274,165
261,158
251,154
240,149
232,146
226,145
221,148
211,154
205,158
203,161
202,162
199,163
194,163
182,161
177,160
171,161
164,162
157,165
151,169
149,175
148,181
149,186
151,190
155,194
160,198
168,200
175,200
184,198
191,195
207,199
214,199
217,200
217,201
217,202
214,201
207,202
194,195
190,193
184,192
172,184
165,181
160,181
154,182
148,183
145,183
143,182
143,182
146,179
151,175
155,172
161,168
166,163
171,158
175,153
177,148
179,143
182,138
186,131
190,123
189,118
188,113
185,108
184,104
181,101
179,99
178,98
178,97
177,96
171,98
214.36956787109375,56.369564056396484,424.8161923852082
222,56
222,59
240,57
267,62
320,75
352,84
298,239
288,234
276,224
264,215
251,206
238,197
225,190
212,184
202,181
190,177
178,174
168,170
157,168
148,166
141,165
137,165
135,165
135,165
138,167
142,169
149,171
156,173
166,177
175,181
185,189
195,197
204,206
214,216
222,224
229,232
233,236
233,238
226,238
216,237
203,234
190,228
178,219
166,211
158,201
151,190
147,179
145,168
146,157
149,150
155,140
161,133
165,132
178,126
184,125
189,125
193,125
196,125
197,125
198,125
199,125
199,125
199,123
198,122
198,120
199,119
200,120
203,123
206,125
208,126
210,128
211,130
211,131
208,132
202,132
197,131
189,129
183,128
177,126
164,128
159,126
154,124
140,125
136,123
133,124
125,121
123,126
103.651611328125,149.90753173828125,46.34848091209264
126,153
134,169
163,181
222,200
300,227
352,166
340,163
323,161
306,158
297,158
291,157
287,158
287,158
281,159
278,157
272,153
266,149
260,144
245,133
237,131
220,126
212,127
206,128
202,130
200,130
200,132
204,133
210,132
214,132
220,131
223,130
225,129
227,129
227,128
227,127
227,127
227,128
228,136
228,144
227,150
226,154
226,164
224,171
220,175
217,176
215,175
212,170
211,163
212,161
217,159
221,156
225,155
231,155
237,154
242,152
243,151
243,152
246,159
216.1654510498047,178.36009216308594,71.98723317452081
249,184
267,209
296,225
325,237
349,66
333,61
310,54
289,47
271,43
252,39
232,38
224,35
215,34
211,34
207,38
202,49
196,56
189,59
185,60
180,63
176,63
176,60
180,59
185,59
193,59
203,60
212,64
222,70
229,74
243,79
253,84
257,91
261,100
271,108
274,114
275,133
276,134
276,135
274,136
273,135
271,135
268,136
262,138
251,140
244,143
239,143
234,143
231,143
224,142
216,136
211,134
208,131
204,131
201,131
199,131
198,134
197,134
195,134
192,133
189,130
184,128
179,124
174,121
169,120
167,117
162,121
160,123
160,123
160,123
159,123
159,123
151,123
147,117
147.37606811523438,145.95298767089844,4.823207162022977
181,132
224,143
283,155
335,168
